Label,Notation,Parent Notation,Sort Priority
"Nil none recorded in the sample",nil-none-recorded-in-the-sample,,1
"Negligible less than 0.5 percent or 0.1 million",negligible-less-than-0-5-percent-or-0-1-million,,2
"Not applicable",not-applicable,,3
"Not available due to small sample size fewer than 100",not-available-due-to-small-sample-size-fewer-than-100,,4
Less than three,less-than-three,,5
Negligible,negligible,,6
between-one-and-five,between-one-and-five,,7
not-applicable,not-applicable,8
