Label,Notation,Parent Notation,Sort Priority
senior-civil-service-level,senior-civil-service-level,,1
grades-6-and-7,grades-6-and-7,,2
senior-and-higher-executive-officers,senior-and-higher-executive-officers,,3
executive-officers,executive-officers,,4
administrative-officers-and-assistants,administrative-officers-and-assistants,,5
not-reported,not-reported,,6
all-employees,all-employees,,7
Total,total,,8
grade-6-and-7,grade-6-and-7,,9
