Label,Notation,Parent Notation,Sort Priority
A81001,a81001,,1
A81002,a81002,,2
A81004,a81004,,3
A81005,a81005,,4
A81006,a81006,,5
A81007,a81007,,6
A81009,a81009,,7
A81011,a81011,,8
A81012,a81012,,9
A81013,a81013,,10
A81014,a81014,,11
A81016,a81016,,12
A81017,a81017,,13
A81018,a81018,,14
A81019,a81019,,15
A81020,a81020,,16
A81021,a81021,,17
A81022,a81022,,18
A81025,a81025,,19
A81026,a81026,,20
A81027,a81027,,21
A81029,a81029,,22
A81030,a81030,,23
A81031,a81031,,24
A81032,a81032,,25
A81034,a81034,,26
A81035,a81035,,27
A81036,a81036,,28
A81037,a81037,,29
A81038,a81038,,30
A81039,a81039,,31
A81040,a81040,,32
A81041,a81041,,33
A81042,a81042,,34
A81043,a81043,,35
A81044,a81044,,36
A81045,a81045,,37
A81046,a81046,,38
A81048,a81048,,39
A81049,a81049,,40
A81051,a81051,,41
A81052,a81052,,42
A81053,a81053,,43
A81054,a81054,,44
A81056,a81056,,45
A81057,a81057,,46
A81058,a81058,,47
A81060,a81060,,48
A81063,a81063,,49
A81064,a81064,,50
A81065,a81065,,51
A81066,a81066,,52
A81067,a81067,,53
A81070,a81070,,54
A81602,a81602,,55
A81608,a81608,,56
A81610,a81610,,57
A81611,a81611,,58
A81612,a81612,,59
A81618,a81618,,60
A81621,a81621,,61
A81622,a81622,,62
A81629,a81629,,63
A81630,a81630,,64
A81631,a81631,,65
A81633,a81633,,66
A81634,a81634,,67
A82003,a82003,,68
A82004,a82004,,69
A82005,a82005,,70
A82006,a82006,,71
A82007,a82007,,72
A82008,a82008,,73
A82009,a82009,,74
A82010,a82010,,75
A82012,a82012,,76
A82013,a82013,,77
A82015,a82015,,78
A82016,a82016,,79
A82018,a82018,,80
A82019,a82019,,81
A82020,a82020,,82
A82021,a82021,,83
A82022,a82022,,84
A82023,a82023,,85
A82024,a82024,,86
A82025,a82025,,87
A82026,a82026,,88
A82027,a82027,,89
A82028,a82028,,90
A82029,a82029,,91
A82030,a82030,,92
A82031,a82031,,93
A82033,a82033,,94
A82034,a82034,,95
A82035,a82035,,96
A82037,a82037,,97
A82038,a82038,,98
A82039,a82039,,99
A82041,a82041,,100
A82044,a82044,,101
A82045,a82045,,102
A82046,a82046,,103
A82047,a82047,,104
A82048,a82048,,105
A82049,a82049,,106
A82050,a82050,,107
A82053,a82053,,108
A82055,a82055,,109
A82058,a82058,,110
A82062,a82062,,111
A82064,a82064,,112
A82065,a82065,,113
A82068,a82068,,114
A82070,a82070,,115
A82071,a82071,,116
A82072,a82072,,117
A82075,a82075,,118
A82077,a82077,,119
A82608,a82608,,120
A82617,a82617,,121
A82620,a82620,,122
A82621,a82621,,123
A82623,a82623,,124
A82631,a82631,,125
A82646,a82646,,126
A82647,a82647,,127
A82650,a82650,,128
A82651,a82651,,129
A82654,a82654,,130
A83001,a83001,,131
A83003,a83003,,132
A83004,a83004,,133
A83005,a83005,,134
A83006,a83006,,135
A83007,a83007,,136
A83008,a83008,,137
A83009,a83009,,138
A83010,a83010,,139
A83011,a83011,,140
A83012,a83012,,141
A83013,a83013,,142
A83014,a83014,,143
A83015,a83015,,144
A83018,a83018,,145
A83020,a83020,,146
A83021,a83021,,147
A83022,a83022,,148
A83023,a83023,,149
A83024,a83024,,150
A83025,a83025,,151
A83026,a83026,,152
A83027,a83027,,153
A83028,a83028,,154
A83029,a83029,,155
A83030,a83030,,156
A83031,a83031,,157
A83032,a83032,,158
A83033,a83033,,159
A83034,a83034,,160
A83035,a83035,,161
A83036,a83036,,162
A83037,a83037,,163
A83038,a83038,,164
A83040,a83040,,165
A83043,a83043,,166
A83044,a83044,,167
A83045,a83045,,168
A83046,a83046,,169
A83047,a83047,,170
A83048,a83048,,171
A83049,a83049,,172
A83050,a83050,,173
A83051,a83051,,174
A83052,a83052,,175
A83054,a83054,,176
A83055,a83055,,177
A83057,a83057,,178
A83060,a83060,,179
A83061,a83061,,180
A83066,a83066,,181
A83070,a83070,,182
A83072,a83072,,183
A83073,a83073,,184
A83074,a83074,,185
A83075,a83075,,186
A83603,a83603,,187
A83610,a83610,,188
A83616,a83616,,189
A83617,a83617,,190
A83618,a83618,,191
A83619,a83619,,192
A83622,a83622,,193
A83626,a83626,,194
A83627,a83627,,195
A83630,a83630,,196
A83632,a83632,,197
A83634,a83634,,198
A83635,a83635,,199
A83636,a83636,,200
A83637,a83637,,201
A83641,a83641,,202
A83644,a83644,,203
A84002,a84002,,204
A84003,a84003,,205
A84005,a84005,,206
A84006,a84006,,207
A84007,a84007,,208
A84008,a84008,,209
A84009,a84009,,210
A84011,a84011,,211
A84013,a84013,,212
A84014,a84014,,213
A84016,a84016,,214
A84018,a84018,,215
A84020,a84020,,216
A84022,a84022,,217
A84024,a84024,,218
A84025,a84025,,219
A84026,a84026,,220
A84027,a84027,,221
A84028,a84028,,222
A84029,a84029,,223
A84030,a84030,,224
A84031,a84031,,225
A84032,a84032,,226
A84033,a84033,,227
A84034,a84034,,228
A84035,a84035,,229
A84036,a84036,,230
A84037,a84037,,231
A84038,a84038,,232
A84039,a84039,,233
A84040,a84040,,234
A84042,a84042,,235
A84043,a84043,,236
A84044,a84044,,237
A84045,a84045,,238
A84047,a84047,,239
A84604,a84604,,240
A84609,a84609,,241
A84614,a84614,,242
A84619,a84619,,243
A85001,a85001,,244
A85002,a85002,,245
A85003,a85003,,246
A85004,a85004,,247
A85005,a85005,,248
A85006,a85006,,249
A85007,a85007,,250
A85008,a85008,,251
A85009,a85009,,252
A85010,a85010,,253
A85011,a85011,,254
A85012,a85012,,255
A85013,a85013,,256
A85014,a85014,,257
A85016,a85016,,258
A85017,a85017,,259
A85018,a85018,,260
A85019,a85019,,261
A85020,a85020,,262
A85021,a85021,,263
A85023,a85023,,264
A85024,a85024,,265
A85026,a85026,,266
A85609,a85609,,267
A85614,a85614,,268
A85616,a85616,,269
A85617,a85617,,270
A85620,a85620,,271
A86003,a86003,,272
A86005,a86005,,273
A86006,a86006,,274
A86007,a86007,,275
A86008,a86008,,276
A86010,a86010,,277
A86011,a86011,,278
A86012,a86012,,279
A86013,a86013,,280
A86016,a86016,,281
A86017,a86017,,282
A86018,a86018,,283
A86020,a86020,,284
A86021,a86021,,285
A86022,a86022,,286
A86023,a86023,,287
A86024,a86024,,288
A86025,a86025,,289
A86026,a86026,,290
A86027,a86027,,291
A86028,a86028,,292
A86029,a86029,,293
A86030,a86030,,294
A86031,a86031,,295
A86033,a86033,,296
A86035,a86035,,297
A86036,a86036,,298
A86037,a86037,,299
A86038,a86038,,300
A86040,a86040,,301
A86041,a86041,,302
A86601,a86601,,303
A87002,a87002,,304
A87003,a87003,,305
A87004,a87004,,306
A87005,a87005,,307
A87007,a87007,,308
A87008,a87008,,309
A87009,a87009,,310
A87011,a87011,,311
A87012,a87012,,312
A87013,a87013,,313
A87016,a87016,,314
A87017,a87017,,315
A87019,a87019,,316
A87020,a87020,,317
A87022,a87022,,318
A87023,a87023,,319
A87027,a87027,,320
A87029,a87029,,321
A87030,a87030,,322
A87600,a87600,,323
A87612,a87612,,324
A87615,a87615,,325
A88001,a88001,,326
A88002,a88002,,327
A88003,a88003,,328
A88004,a88004,,329
A88005,a88005,,330
A88006,a88006,,331
