Label,Notation,Parent Notation,Sort Priority
entire-region,entire-region,,1
cumbria-county-council,cumbria-county-council,,2
northumberland-county-council,northumberland-county-council,,3
gateshead-metropolitan-borough-council,gateshead-metropolitan-borough-council,,4
newcastle-upon-tyne-city-council,newcastle-upon-tyne-city-council,,5
north-tyneside-council,north-tyneside-council,,6
south-tyneside-metropolitan-borough-council,south-tyneside-metropolitan-borough-council,,7
sunderland-city-council,sunderland-city-council,,8
hartlepool-borough-council,hartlepool-borough-council,,9
middlesbrough-council,middlesbrough-council,,10
redcar-cleveland-borough-council,redcar-cleveland-borough-council,,11
stockton-on-tees-borough-council,stockton-on-tees-borough-council,,12
durham-county-council,durham-county-council,,13
darlington-borough-council,darlington-borough-council,,14
barnsley-metropolitan-borough-council,barnsley-metropolitan-borough-council,,15
doncaster-council,doncaster-council,,16
rotherham-metropolitan-borough-council,rotherham-metropolitan-borough-council,,17
sheffield-city-council,sheffield-city-council,,18
city-of-bradford-metropolitan-district-council,city-of-bradford-metropolitan-district-council,,19
calderdale-metropolitan-borough-council,calderdale-metropolitan-borough-council,,20
kirklees-council,kirklees-council,,21
leeds-city-council,leeds-city-council,,22
wakefield-council,wakefield-council,,23
east-riding-of-yorkshire-council,east-riding-of-yorkshire-council,,24
kingston-upon-hull-city-council,kingston-upon-hull-city-council,,25
north-east-lincolnshire-council,north-east-lincolnshire-council,,26
north-lincolnshire-council,north-lincolnshire-council,,27
north-yorkshire-county-council,north-yorkshire-county-council,,28
york-city-council,york-city-council,,29
bolton-metropolitan-borough-council,bolton-metropolitan-borough-council,,30
bury-metropolitan-borough-council,bury-metropolitan-borough-council,,31
manchester-city-council,manchester-city-council,,32
oldham-metropolitian-borough-council,oldham-metropolitian-borough-council,,33
rochdale-metropolitan-borough-council,rochdale-metropolitan-borough-council,,34
salford-city-council,salford-city-council,,35
stockport-metropolitan-borough-council,stockport-metropolitan-borough-council,,36
tameside-metropolitan-borough-council,tameside-metropolitan-borough-council,,37
trafford-metropolitan-borough-council,trafford-metropolitan-borough-council,,38
wigan-metropolitan-borough-council,wigan-metropolitan-borough-council,,39
knowsley-metropolitan-borough-council,knowsley-metropolitan-borough-council,,40
liverpool-city-council,liverpool-city-council,,41
sefton-council,sefton-council,,42
st-helens-metropolitan-borough-council,st-helens-metropolitan-borough-council,,43
wirral-metropolitan-borough-council,wirral-metropolitan-borough-council,,44
cheshire,cheshire,,45
halton-borough-council,halton-borough-council,,46
warrington-borough-council,warrington-borough-council,,47
lancashire-county-council,lancashire-county-council,,48
blackburn-with-darwen-borough-council,blackburn-with-darwen-borough-council,,49
blackpool-borough-council,blackpool-borough-council,,50
cheshire-east-council,cheshire-east-council,,51
cheshire-west-and-chester-council,cheshire-west-and-chester-council,,52
warwickshire-county-council,warwickshire-county-council,,53
birmingham-city-council,birmingham-city-council,,54
coventry-city-council,coventry-city-council,,55
dudley-metropolitan-borough-council,dudley-metropolitan-borough-council,,56
sandwell-metropolitan-borough-council,sandwell-metropolitan-borough-council,,57
solihull-metropolitan-borough-council,solihull-metropolitan-borough-council,,58
walsall-metropolitan-borough-council,walsall-metropolitan-borough-council,,59
wolverhampton-city-council,wolverhampton-city-council,,60
staffordshire-county-council,staffordshire-county-council,,61
stoke-on-trent-city-council,stoke-on-trent-city-council,,62
herefordshire-council,herefordshire-council,,63
worcestershire-county-council,worcestershire-county-council,,64
shropshire-council,shropshire-council,,65
telford-and-wrekin-council,telford-and-wrekin-council,,66
lincolnshire-county-council,lincolnshire-county-council,,67
northamptonshire-county-council,northamptonshire-county-council,,68
derbyshire-county-council,derbyshire-county-council,,69
derby-city-council,derby-city-council,,70
leicestershire-county-council,leicestershire-county-council,,71
leicester-city-council,leicester-city-council,,72
rutland-county-council,rutland-county-council,,73
nottinghamshire-county-council,nottinghamshire-county-council,,74
nottingham-city-council,nottingham-city-council,,75
hertfordshire-county-council,hertfordshire-county-council,,76
norfolk-county-council,norfolk-county-council,,77
oxfordshire-county-council,oxfordshire-county-council,,78
suffolk-county-council,suffolk-county-council,,79
bedfordshire,bedfordshire,,80
luton-borough-council,luton-borough-council,,81
buckinghamshire-county-council,buckinghamshire-county-council,,82
milton-keynes-council-unitary,milton-keynes-council-unitary,,83
bracknell-forest-borough-council,bracknell-forest-borough-council,,84
west-berkshire-district-council,west-berkshire-district-council,,85
reading-borough-council,reading-borough-council,,86
slough-borough-council,slough-borough-council,,87
royal-borough-of-windsor-maidenhead,royal-borough-of-windsor-maidenhead,,88
wokingham-borough-council,wokingham-borough-council,,89
essex-county-council,essex-county-council,,90
southend-on-sea-borough-council,southend-on-sea-borough-council,,91
thurrock-council,thurrock-council,,92
cambridgeshire-county-council,cambridgeshire-county-council,,93
peterborough-city-council,peterborough-city-council,,94
bedford-borough-council,bedford-borough-council,,95
central-bedfordshire-council,central-bedfordshire-council,,96
london-borough-of-camden,london-borough-of-camden,,97
london-borough-of-greenwich,london-borough-of-greenwich,,98
london-borough-of-hackney,london-borough-of-hackney,,99
london-borough-of-hammersmith-and-fulham,london-borough-of-hammersmith-and-fulham,,100
london-borough-of-islington,london-borough-of-islington,,101
royal-borough-of-kensington-and-chelsea,royal-borough-of-kensington-and-chelsea,,102
london-borough-of-lambeth-council,london-borough-of-lambeth-council,,103
london-borough-of-lewisham-council,london-borough-of-lewisham-council,,104
london-borough-of-southwark-council,london-borough-of-southwark-council,,105
london-borough-of-tower-hamlets-council,london-borough-of-tower-hamlets-council,,106
london-borough-of-wandsworth,london-borough-of-wandsworth,,107
westminster-city-council,westminster-city-council,,108
corporation-of-the-city-of-london,corporation-of-the-city-of-london,,109
london-borough-of-barking-and-dagenham,london-borough-of-barking-and-dagenham,,110
london-borough-of-barnet,london-borough-of-barnet,,111
london-borough-of-bexley,london-borough-of-bexley,,112
london-borough-of-brent,london-borough-of-brent,,113
london-borough-of-bromley,london-borough-of-bromley,,114
london-borough-of-croydon,london-borough-of-croydon,,115
london-borough-of-ealing,london-borough-of-ealing,,116
london-borough-of-enfield,london-borough-of-enfield,,117
london-borough-of-haringey,london-borough-of-haringey,,118
london-borough-of-harrow,london-borough-of-harrow,,119
london-borough-of-havering,london-borough-of-havering,,120
london-borough-of-hillingdon,london-borough-of-hillingdon,,121
london-borough-of-hounslow,london-borough-of-hounslow,,122
royal-borough-of-kingston-upon-thames-council,royal-borough-of-kingston-upon-thames-council,,123
london-borough-of-merton-council,london-borough-of-merton-council,,124
london-borough-of-newham-council,london-borough-of-newham-council,,125
london-borough-of-redbridge-council,london-borough-of-redbridge-council,,126
london-borough-of-richmond-upon-thames-council,london-borough-of-richmond-upon-thames-council,,127
london-borough-of-sutton-council,london-borough-of-sutton-council,,128
london-borough-of-waltham-forest-council,london-borough-of-waltham-forest-council,,129
isle-of-wight-council,isle-of-wight-council,,130
surrey-county-council,surrey-county-council,,131
west-sussex-county-council,west-sussex-county-council,,132
dorset-county-council,dorset-county-council,,133
bournemouth-borough-council,bournemouth-borough-council,,134
borough-of-poole-council,borough-of-poole-council,,135
hampshire-county-council,hampshire-county-council,,136
portsmouth-city-council,portsmouth-city-council,,137
southampton-city-council,southampton-city-council,,138
east-sussex-county-council,east-sussex-county-council,,139
brighton-hove-city-council,brighton-hove-city-council,,140
wiltshire-council,wiltshire-council,,141
swindon-borough-council,swindon-borough-council,,142
kent-county-council,kent-county-council,,143
medway-council,medway-council,,144
cornwall-council,cornwall-council,,145
gloucestershire-county-council,gloucestershire-county-council,,146
somerset-county-council,somerset-county-council,,147
the-council-of-the-isles-of-scilly,the-council-of-the-isles-of-scilly,,148
bath-and-north-east-somerset-council,bath-and-north-east-somerset-council,,149
bristol-city-council,bristol-city-council,,150
north-somerset-district-council,north-somerset-district-council,,151
south-gloucestershire-council,south-gloucestershire-council,,152
devon-county-council,devon-county-council,,153
plymouth-city-council,plymouth-city-council,,154
torbay-council,torbay-council,,155
