Label,Notation,Parent Notation,Sort Priority
2013 European Standard Population.,2013-european-standard-population,,
"Per 100,000 European Standard population (2013), using sex and age bands of 0-4, 5-9, etc. to 90+ for data relating to 2010/11 onwards.",per-100000-european-standard-population-2013-using-sex-and-age-bands-of-0-4-5-9-etc-to-greater-than-90-for-data-relating-to-201011-onwards,,
European Standard Population 2013,european-standard-population-2013,,
2013 European Standard Population,2013-european-standard-population,,
