Label,Notation,Parent Notation,Sort Priority
Most deprived decile (IMD2010),most-deprived-decile-imd2010,,
Second most deprived decile (IMD2010),second-most-deprived-decile-imd2010,,
Third more deprived decile (IMD2010),third-more-deprived-decile-imd2010,,
Fourth more deprived decile (IMD2010),fourth-more-deprived-decile-imd2010,,
Fifth more deprived decile (IMD2010),fifth-more-deprived-decile-imd2010,,
Fifth less deprived decile (IMD2010),fifth-less-deprived-decile-imd2010,,
Fourth less deprived decile (IMD2010),fourth-less-deprived-decile-imd2010,,
Third less deprived decile (IMD2010),third-less-deprived-decile-imd2010,,
Second least deprived decile (IMD2010),second-least-deprived-decile-imd2010,,
Least deprived decile (IMD2010),least-deprived-decile-imd2010,,
