Label,Notation,Parent Notation,Sort Priority
Most deprived decile,most-deprived-decile,,
Second most deprived decile,second-most-deprived-decile,,
Third more deprived decile,third-more-deprived-decile,,
Fourth more deprived decile,fourth-more-deprived-decile,,
Fifth more deprived decile,fifth-more-deprived-decile,,
Fifth less deprived decile,fifth-less-deprived-decile,,
Fourth less deprived decile,fourth-less-deprived-decile,,
Third less deprived decile,third-less-deprived-decile,,
Second least deprived decile,second-least-deprived-decile,,
Least deprived decile,least-deprived-decile,,
